Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16402.94532,16746.28012,16193.09016,15783.121,17553.54695,18048.97096,19883.48634,20858.5436,21857.12837,22129.16453,21685.03348,22539.90731,8479.946607,18806.78679,16160.08723,12201.20852,11022.42921,10592.42442,13237.99853,15017.98908,15174.16475
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10674.35633,11310.66296,12341.40682,13360.45888,13301.98186,13890.9239,14919.89684,16055.57361,17896.78143,19287.89847,21120.45022,23051.4121,25917.91287,26870.45861,23138.75559,24019.25827,26051.5539,27418.21906,28680.36954,29951.22186,30846.43781,32027.80742,33869.74153,35540.65377,37278.30334
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67857.5405,72742.20201,73088.51366,75143.19125,76959.1223,76972.43662,76986.09031,80368.02137,84172.45378,90086.14305,96207.22865,97475.82969,100144.2024,100546.5409,102708.2125,104357.565,108024.838,115256.0167,111765.4507,104932.812,108047.3469,108355.5826,105411.4646,106767.275,108760.916,110798.7362,113396.7538,112666.7694,113952.3579,114323.4054
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48452.81799,48831.19929,53998.99596,55589.53339,56787.69244,57485.90217,56101.05828,54832.04996,51270.25553,49011.71325,50689.73044,50944.53232,54156.77805,58976.97785,72944.40942,76985.08382,85302.15641,95553.44952,96739.3276,95939.34082,117537.9597,139736.9253,149070.6774,161938.7493,156514.1338,120294.8958,117335.5878,126918.2265,131908.1542,123965.2864
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Madagascar,MDG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1853.051624,1686.155508,1656.344494,1641.211819,1591.419886,1569.037568,1553.575906,1560.974497,1571.629112,1594.476574,1614.382282,1658.935704,1409.39584,1501.274143,1533.698657,1559.874551,1596.75288,1639.881934,1700.696177,1587.566881,1553.404722,1534.939918,1538.516397,1531.778868,1540.745477,1546.766536,1565.866924,1584.422678,1613.104514,1647.02116
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,671.4324704,715.15647,656.8562195,718.7102836,642.772466,742.7762871,782.9365921,793.4614587,801.9140583,803.3212794,794.4323544,736.2058082,730.7177312,753.967749,775.3461317,780.1359883,794.9088104,847.1826657,886.2587152,932.8676348,968.7796116,987.1204226,977.3917138,999.4413222,1027.208496,1027.229606,1024.601072,1037.545868,1042.526368,1059.72349
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Malaysia,MYS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10306.08209,10991.07047,11663.62953,12500.50609,13315.42768,14260.09408,15290.91881,15995.71726,14448.73653,14965.6144,15917.05374,15652.01181,16155.60162,16751.4085,17538.48222,18114.14693,18752.54078,19546.98372,20103.50192,19442.98395,20536.36742,21289.26274,22132.23977,22855.98925,23906.2662,24787.8262,25541.64399,26661.1877,27557.65446,28364.48697
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10598.20901,11208.62275,11935.36944,12609.42501,13139.88397,13358.49153,12522.07826,13072.43856,14452.47332,14901.98267,12607.56616,15517.06222,16330.94595,17448.78043,15731.85808,16305.62054,17015.72602,16708.87693,17133.72698,17568.53104,17284.60989,17583.85169,18058.43555,18795.82192,19531.18969
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Mali,MLI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1414.886809,1547.084307,1460.948094,1468.006792,1483.070018,1457.57306,1520.457546,1553.333071,1628.01481,1675.170581,1627.732764,1823.841174,1824.601621,1930.206886,1899.083257,1958.817658,1983.705551,1985.622118,2012.281404,2041.329938,2082.961796,2085.421118,2007.80605,1995.158039,2075.399824,2139.735561,2198.562706,2246.801669,2283.710194,2321.594445
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Malta,MLT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18062.52192,18682.25181,19357.88621,20024.2691,20958.92077,22133.39835,22819.14498,23837.6569,24897.13761,25918.16125,27494.88193,26968.57511,27454.9468,28386.15958,28235.69918,29005.59759,29625.54583,30932.01318,31907.29965,31308.58163,32882.30713,32896.20692,33944.17057,35302.88945,37246.5521,39862.53107,40476.6286,42539.73635,43207.26772,43707.54016
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3383.377863,3307.085569,3482.7288,3648.493946,3833.401068,4128.351513,3697.440367,3464.806918,3442.832322,3395.102312,3418.700493,3604.550089,3671.722351,3539.003653,3505.705863,3535.058281,3526.197119,3605.48037,3354.637352,3398.473892,3647.719451,3609.571174,3512.455312,3628.895199,3579.633421,3620.134513,3648.63509,3775.524973,3888.601274,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Mauritania,MRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4640.934615,4602.725048,4569.207654,4714.614204,4454.846808,4769.418474,4920.878689,4604.141556,4613.265359,4660.668784,4361.210196,4210.786146,4152.634841,4317.489228,4395.521984,4638.012115,5333.614964,5080.637937,4919.838929,4783.635725,4767.384188,4822.16636,4891.058703,4946.038686,5008.685707,5127.436084,5045.8943,5077.195472,5042.423182,5197.074547
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7989.529896,8254.316211,8676.973886,9010.484481,9252.715908,9566.824921,9998.617114,10435.79837,10953.67688,11097.6902,11890.58865,12191.92742,12303.10685,12938.15268,13413.99326,13571.8356,14165.95449,14909.17086,15655.60432,16131.70698,16797.81724,17454.78008,18014.99115,18579.37416,19240.22471,19897.4754,20646.933,21415.11611,22208.13812,22870.28625
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Mexico,MEX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14998.03165,15343.28733,15601.53247,15626.17126,16119.81134,14857.34926,15610.98011,16421.74628,17009.90227,17222.15814,17814.77017,17495.36851,17249.92034,17262.38554,17693.05322,17846.89712,18379.52676,18523.35907,18457.11343,17225.25484,17848.32494,18245.83585,18655.84626,18661.3403,18949.47984,19332.07427,19603.30887,19785.90501,19993.71739,19765.91608
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2997.928734,3140.088404,3181.580392,3356.947083,3272.399771,3453.122554,3318.786989,3113.06784,3209.854641,3266.863498,3436.865896,3518.866328,3542.841628,3602.881619,3500.946192,3589.126824,3612.01557,3577.16231,3521.384309,3579.512464,3662.663992,3759.758901,3652.289034,3470.733861,3342.739413,3450.701332,3440.064207,3492.908562,3463.601713,..
