Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bolivia,BOL,..,165.8758463,174.0564114,173.8431646,181.7143822,189.5462068,199.6692648,216.3246913,227.504935,237.2575227,253.4079698,266.1004835,265.0341526,254.1797226,252.5551595,245.005227,235.0561805,233.5929656,245.7330291,257.8441226,266.1386817,280.5409949,290.0465303,312.6004225,332.806869,351.5981579,369.8291883,388.2855191,405.1002617,418.1872835,415.8814691,416.6552548,429.9531021,437.2420157,447.1256547,476.5873228,506.9477277,538.6862855,527.8017054,546.5978457,596.5015987,629.0050851,654.4817934,695.9531703,742.5383997,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2937.655696,2106.04902,1111.327367,707.7824443,893.9358683,959.2457659,1126.334035,1384.610031,1774.6122,1834.451137,2030.296632,2068.426356,2092.096398,2233.5496,2321.878203,2389.696948,2384.592014,2382.543148,2986.465282,2891.643277,3155.603389,3343.735276,3479.083887,3474.27952,3446.766668,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Botswana,BWA,..,..,..,..,..,..,..,..,..,..,..,586.8393221,627.2880696,625.4203769,640.8522462,663.8107223,753.4139915,846.8221656,719.1265154,729.6196657,769.376634,852.7341023,925.5225682,922.0147094,963.0008249,935.9000363,962.2988842,1028.936819,1096.56916,1073.736977,1155.577625,1225.310179,1274.754465,1362.432383,1480.011351,1464.63911,1494.083582,1535.090876,1542.566214,1739.95571,1561.064966,1503.422146,1756.268904,2126.508337,1815.558069,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Brazil,BRA,..,459.8856907,499.0417375,554.6281926,604.9785133,651.4966651,722.0814527,790.2218389,860.3023634,941.6991547,1016.65361,1021.547835,1055.950833,1111.752128,1208.624321,1283.054374,1354.503466,1368.108512,1419.630612,1449.931382,1460.760349,1486.22457,1494.061496,1537.592717,1566.761241,1634.398037,1687.085177,1762.410693,1808.343186,1832.378296,1897.353137,1747.939601,1806.669714,1882.264008,1956.159359,2015.799924,2072.362647,2167.606584,2229.845299,2197.125547,2374.116653,2430.803396,2501.474053,2568.829708,2619.960616,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Brunei Darussalam,BRN,..,1754.243722,1675.796708,1582.363715,1541.219563,1478.722483,1421.087994,1367.949907,1318.948153,1273.960043,1691.77683,2264.7622,2635.090869,3079.084856,3290.936175,3265.775299,3217.634194,4192.572076,4283.890607,4298.928648,4325.122429,4473.911574,4819.417873,5268.370959,5579.470313,6384.754673,6828.134541,7622.821021,7755.119946,7375.616934,7545.810634,7181.634778,7373.508429,8550.976102,8596.873409,8463.110152,8431.844392,8614.137319,8589.403328,8840.705798,8810.073949,8783.605291,9240.856264,9873.374528,10291.16405,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bulgaria,BGR,..,2292.653983,2486.06609,2683.109679,2842.231221,3035.636188,3247.551349,3437.797692,3648.387027,3772.289411,3973.690788,4125.353429,4397.890565,4582.125337,4772.2946,4678.285823,4646.260939,4838.620325,4940.518487,4963.178886,4758.731903,4361.144516,3735.525454,3807.696906,3825.386616,4211.125131,4350.443259,3970.131139,3932.401784,3613.367267,3673.606871,3859.090025,3853.819004,3997.902596,3971.822736,4165.180392,4366.912765,4523.322878,4674.503151,4483.747139,4560.414917,4863.691441,4761.912583,4639.706323,4708.927458,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.51333851,20.03110831,24.25079213,26.63676453,30.20243709,32.74308304,36.51633223,50.32550553,51.49281321,55.71512855,66.75027276,80.72588598,100.5850747,114.5937066,127.9303718,144.2823793,165.1145146,207.2331472,221.5444195,271.3672582,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Cameroon,CMR,..,152.3245868,155.5223994,152.987821,169.5806996,174.8745882,165.9619806,155.054288,155.7673828,155.0402979,156.1230268,198.3453966,221.1236704,213.609822,204.6559275,223.7159568,208.4559828,207.6215369,209.743701,210.313501,199.0647269,192.2900743,188.8075674,190.9967981,167.2589129,160.0736707,165.6310195,175.3988599,172.4422716,177.4017323,175.2616759,165.1713771,155.0349495,167.1342517,192.3598158,186.4277654,245.6694517,253.7601943,267.1318351,264.9328681,261.4884706,256.3331361,247.4253751,252.2047761,275.1979137,..,..,..,..,..
