"Country","ISOCode","Year","GDPPerCapita","FemaleUnemploymentRate","ElectricityPerCapita","PopulationInMillions","ChildrenPerWoman","ChildMortalityRate","LaborRate","LifeExpectancy","NumCode"
"Late-demographic dividend","LTE","2002",7105.3488,NA,1679.762371,2073.757401,1.704057774,29.01619419,76.99487833,71.49968241,NA
"Latin America & Caribbean","LCN","2002",12455.18511,11.27211964,1593.597745,535.50936,2.512647103,29.9,66.87165834,72.28763365,NA
"Latin America & Caribbean (excluding high income)","LAC","2002",12106.16987,11.12246762,1549.680302,507.060155,2.538184149,30.52775383,67.12808446,72.06715252,NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","2002",12356.79475,11.40507947,1601.012335,519.420817,2.538595433,30.2376288,67.15490439,72.13921072,NA
"Least developed countries: UN classification","LDC","2002",1667.226974,NA,102.9158464,691.061397,5.059913578,124.728729,70.74556283,56.50274816,NA
"Low & middle income","LMY","2002",5264.224909,NA,1028.726367,5157.632243,2.848597291,77.19802301,68.67783111,65.94974095,NA
"Low income","LIC","2002",1507.114709,NA,NA,424.933735,5.837409399,132.5,71.11071581,54.69051061,NA
"Lower middle income","LMC","2002",3309.953127,NA,451.3633859,2233.327611,3.473484068,90.5,61.99338887,62.77647472,NA
"Middle East & North Africa","MEA","2002",12153.38967,19.24430681,1911.359091,327.362252,3.034536278,38.5,49.04515281,70.47001711,NA
"Middle East & North Africa (excluding high income)","MNA","2002",8092.448305,20.533455,1166.674804,289.264324,3.001587127,41.35146622,47.6547051,69.94988268,NA
"Middle East & North Africa (IDA & IBRD countries)","TMN","2002",8144.239691,20.58364667,1166.674804,286.188951,2.982516119,41.58172117,47.74571312,69.93379473,NA
"Middle income","MIC","2002",5610.715818,NA,1071.174242,4732.698508,2.615641047,67.67154386,68.49933991,66.96069679,NA
"North America","NAC","2002",49364.90672,5.76581382,13656.44242,319.048184,1.968238347,8.1,75.62294581,77.18781814,NA
"Not classified","INX","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OECD members","OED","2002",36202.01473,7.550036626,7760.628097,1214.754899,1.783849517,12.52238001,69.64172419,77.39572717,NA
"Other small states","OSS","2002",14493.89234,NA,NA,21.639132,3.535048891,84.72672876,63.89932802,60.09955999,NA
"Pacific island small states","PSS","2002",6051.628826,NA,NA,2.006078,3.775604394,28.26298439,65.29300388,67.03312099,NA
"Post-demographic dividend","PST","2002",39475.4714,6.736037101,8856.926737,1030.561684,1.579288232,6.919638199,71.37886509,77.78723903,NA
"Pre-demographic dividend","PRE","2002",2499.527812,NA,190.5613705,582.828705,6.01902592,142.4258655,67.79556194,51.52350696,NA
"Small states","SST","2002",13663.7764,NA,NA,30.250171,3.282640564,71.06462461,64.8748583,63.08599455,NA
"South Asia","SAS","2002",2712.26449,NA,372.3167376,1442.644058,3.357392074,86.3,59.42903252,63.62377115,NA
"South Asia (IDA & IBRD)","TSA","2002",2712.26449,NA,372.3167376,1442.644058,3.357392074,86.31300421,59.42903252,63.62377115,NA
"Sub-Saharan Africa","SSF","2002",2796.824255,NA,513.7600559,701.066167,5.659602674,140,70.45502665,51.14816442,NA
"Sub-Saharan Africa (excluding high income)","SSA","2002",2778.660827,NA,511.6626038,699.777823,5.667873742,140.0382218,70.47055852,51.10994253,NA
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","2002",2796.824255,NA,513.7600559,701.066167,5.659602674,139.9484729,70.45502665,51.14816442,NA
"Upper middle income","UMC","2002",7643.178697,NA,1619.795685,2499.370897,1.921247427,33,73.67295632,70.69971419,NA
"World","WLD","2002",11359.26544,NA,2435.206827,6272.752973,2.643688591,70.5,69.0483715,68.07037331,NA
"Afghanistan","AFG","2003",1235.810063,NA,NA,23.680871,7.148,116.3,49.50999832,57.271,4
"Albania","ALB","2003",7177.633793,18.20000076,1469.264539,3.039616,1.897,22.9,66.02999878,74.828,8
"Algeria","DZA","2003",9771.685462,25.44000053,786.4144723,32.264157,2.405,36.5,45.56000137,72.101,12
"American Samoa","ASM","2003",NA,NA,NA,0.059504,NA,NA,NA,NA,16
"Andorra","AND","2003",NA,NA,NA,0.073182,NA,6.6,NA,NA,20
"Angola","AGO","2003",5218.207136,NA,95.85310338,18.121479,6.533,183.2,77.86000061,48.44,24
"Antigua and Barbuda","ATG","2003",17955.10494,NA,NA,0.0793,2.14,14.1,NA,74.613,28
"Argentina","ARG","2003",16714.66926,17.47999954,2180.326817,38.087868,2.461,17.7,68.91999817,74.107,32
"Armenia","ARM","2003",5823.727671,NA,1320.44062,3.017932,1.645,26.4,60.74000168,72.348,51
"Aruba","ABW","2003",36766.55451,NA,NA,0.097017,1.803,NA,NA,74.038,533
"Australia","AUS","2003",40423.97016,5.980000019,10434.87439,19.8954,1.748,5.9,74.61000061,80.23902439,36
"Austria","AUT","2003",47716.75534,4.340000153,7695.080037,8.121423,1.38,5.2,71.83999634,78.63170732,40
"Azerbaijan","AZE","2003",5264.840526,9.270000458,2235.459856,8.2341,1.9,60,77.08999634,67.791,31
"Bahamas, The","BHS","2003",40135.22748,11.84000015,NA,0.313129,1.889,16.7,79.91000366,71.986,44
"Bahrain","BHR","2003",47476.98335,NA,19775.06331,0.778708,2.59,11.3,68.25,74.999,48
"Bangladesh","BGD","2003",2097.16867,4.849999905,129.3923331,134.791603,2.876,72.7,58.83000183,66.886,50
"Barbados","BRB","2003",15050.51319,12.55000019,NA,0.274329,1.797,15.7,79.58999634,77.682,52
"Belarus","BLR","2003",9660.193688,3.900000095,3063.056939,9.796749,1.232,10,72.19000244,68.55365854,112
"Belgium","BEL","2003",44301.07094,8,8411.900657,10.376133,1.67,5.2,64.05000305,78.12926829,56
"Belize","BLZ","2003",7175.828645,NA,NA,0.269425,3.286,21.7,65.01999664,69.511,84
"Benin","BEN","2003",2579.69815,NA,64.6228902,7.520555,5.754,128.8,72.73999786,56.436,204
"Bermuda","BMU","2003",88727.31139,NA,NA,0.063325,1.8,NA,NA,78.33414634,60
"Bhutan","BTN","2003",4957.537025,NA,NA,0.627839,3.037,64.8,72.18000031,63.624,64
"Bolivia","BOL","2003",5479.265061,NA,437.2420157,8.905823,3.798,63.2,73.73999786,64.21,68
"Bosnia and Herzegovina","BIH","2003",8136.233527,NA,2233.5496,3.762173,1.33,9.2,53.06000137,74.941,70
"Botswana","BWA","2003",12059.13231,26.29999924,1362.432383,1.734398,3.159,57.7,60.66999817,50.518,72
"Brazil","BRA","2003",11782.46777,12.59000015,1882.264008,181.809246,2.097,28.3,69.05999756,71.17,76
"British Virgin Islands","VGB","2003",NA,NA,NA,0.021672,NA,NA,NA,NA,92
"Brunei Darussalam","BRN","2003",71483.58556,NA,8550.976102,0.353293,2.154,9.7,69.55000305,73.575,96
"Bulgaria","BGR","2003",12438.02249,13.18999958,3997.902596,7.775327,1.26,15.2,61.81000137,72.06585366,100
"Burkina Faso","BFA","2003",1426.61705,NA,NA,12.654621,6.403,165.6,76.90000153,51.956,854
"Burundi","BDI","2003",804.8850292,NA,NA,6.909154,6.736,137.9,82.31999969,51.69,108
"Cabo Verde","CPV","2003",4336.816976,NA,NA,0.44993,3.151,29.8,61.84999847,69.932,132
"Cambodia","KHM","2003",1752.042366,NA,51.49281321,12.856163,3.406,77.9,84.19999695,61.241,116
"Cameroon","CMR","2003",2889.281873,NA,167.1342517,16.800865,5.431,133.7,82.69000244,51.908,120
"Canada","CAN","2003",39356.93491,7.159999847,17208.52352,31.644028,1.5251,6.1,78.19000244,79.74146341,124
"Cayman Islands","CYM","2003",NA,NA,NA,0.046632,NA,NA,NA,NA,136
"Central African Republic","CAF","2003",999.0009747,NA,NA,3.881181,5.436,165.6,73.41999817,44.182,140
"Chad","TCD","2003",1111.604237,NA,NA,9.373916,7.212,175.1,72.44000244,48.057,148
"Channel Islands","CHI","2003",NA,NA,NA,0.150068,1.492,NA,72.75,79.795,NA
"Chile","CHL","2003",16835.41063,12.02999973,2897.79233,15.849652,1.943,9.5,60.70999908,77.146,152
"China","CHN","2003",4400.825183,NA,1379.484632,1288.4,1.604,28.8,80.25,72.381,156
"Colombia","COL","2003",9388.04049,17.06999969,876.4128864,41.483872,2.395,22.7,72.01999664,73.777,170
"Comoros","COM","2003",2817.322425,NA,NA,0.583211,5.167,99,42.38999939,59.738,174
"Congo, Dem. Rep.","COD","2003",732.5366714,NA,90.20802488,51.42558,6.718,146.1,72.19000244,52.144,180
"Congo, Rep.","COG","2003",4461.134257,NA,114.7663492,3.406922,4.846,99.9,69.44000244,53.817,178
"Costa Rica","CRI","2003",13223.69297,8,1643.590992,4.164053,2.124,11.8,65.54000092,77.871,188
"Cote d'Ivoire","CIV","2003",3717.053187,NA,174.3788641,17.59961,5.63,132.5,63.97999954,49.572,384
"Croatia","HRV","2003",21769.5608,15.63000011,3257.889868,4.303399,1.41,7.4,63.70999908,74.61390244,191
"Cuba","CUB","2003",NA,3.400000095,1193.408283,11.229183,1.583,7.8,58.56999969,77.303,192
"Curacao","CUW","2003",30107.17996,NA,7521.02019,0.131897,NA,NA,NA,NA,531
"Cyprus","CYP","2003",35155.5109,4.579999924,3918.221592,0.993563,1.576,5.5,70.80000305,78.385,196
"Czech Republic","CZE","2003",27326.54042,9.640000343,6074.849142,10.193998,1.18,4.8,70.26999664,75.17073171,203
"Denmark","DNK","2003",49419.95189,5.75,6602.63638,5.390574,1.76,5.4,79.18000031,77.14390244,208
"Djibouti","DJI","2003",NA,NA,NA,0.759641,4.118,93.8,63.84000015,57.427,262
"Dominica","DMA","2003",9863.00477,NA,NA,0.0701,1.9,18.4,NA,NA,212
"Dominican Republic","DOM","2003",9424.795254,10.02000046,1365.261832,8.850317,2.725,37.8,60.65000153,70.227,214
"Ecuador","ECU","2003",8625.792511,6.159999847,715.7988397,13.369678,2.911,24.8,68.68000031,73.641,218
"Egypt, Arab Rep.","EGY","2003",8007.645579,23.30999947,1146.635663,72.826097,3.106,39.4,48.70000076,69.116,818
"El Salvador","SLV","2003",6694.651691,3.200000048,693.6847825,5.994077,2.691,27.7,64.77999878,69.68,222
"Equatorial Guinea","GNQ","2003",21944.69741,NA,NA,0.686664,5.675,143.3,60.91999817,54.064,226
"Eritrea","ERI","2003",NA,NA,89.58186033,2.600973,5.073,73.9,78.16999817,57.191,232
"Estonia","EST","2003",22125.04418,10.38000011,5158.602778,1.37072,1.37,8.5,70.69000244,71.31707317,233
"Eswatini","SWZ","2003",6009.460173,NA,NA,1.022802,3.745,116,52.49000168,43.372,748
"Ethiopia","ETH","2003",718.332994,NA,28.62662162,72.170584,6.112,121.6,82.91999817,54.211,231
"Faroe Islands","FRO","2003",NA,NA,NA,0.047432,2.5,NA,NA,78.9902439,234
"Fiji","FJI","2003",10117.56534,NA,NA,0.816076,2.944,22.4,58.54999924,66.152,242
"Finland","FIN","2003",42202.74962,9.93999958,16445.57256,5.213014,1.76,4,74.72000122,78.36829268,246
"France","FRA","2003",40562.63615,9.130000114,7529.550299,62.244886,1.89,4.9,69.55999756,79.11463415,250
"French Polynesia","PYF","2003",NA,NA,NA,0.252703,2.331,NA,61.24000168,73.382,258
"Gabon","GAB","2003",16060.60241,NA,936.3969778,1.319953,4.332,78.6,49.45000076,57.759,266
"Gambia, The","GMB","2003",2257.277835,NA,NA,1.449925,5.787,98.7,59.22999954,57.159,270
"Georgia","GEO","2003",6230.821909,11.53999996,1749.863857,3.951736,1.599,28.8,68.87999725,70.349,268
"Germany","DEU","2003",43163.39744,9.279999733,7009.726492,82.534176,1.34,5,72.63999939,78.3804878,276
"Ghana","GHA","2003",2907.28197,NA,217.9245706,20.750299,4.612,88.2,73.87999725,57.785,288
"Gibraltar","GIB","2003",NA,NA,3993.242205,0.032555,NA,NA,NA,NA,292
"Greece","GRC","2003",33413.8669,14.46000004,5091.292424,10.92807,1.29,5.2,65.52999878,78.84146341,300
"Greenland","GRL","2003",NA,8.640000343,NA,0.056765,2.372,NA,NA,68.43536585,304
"Grenada","GRD","2003",12738.66074,NA,NA,0.104005,2.409,14.9,NA,73.023,308
"Guam","GUM","2003",NA,NA,NA,0.157717,2.718,NA,72.40000153,76.065,316
"Guatemala","GTM","2003",6611.617395,3.390000105,453.8742172,12.415334,4.245,46,64.43000031,69.092,320
"Guinea","GIN","2003",1771.691075,NA,NA,8.753093,5.877,145.2,65.63999939,51.901,324
"Guinea-Bissau","GNB","2003",1641.018684,NA,NA,1.283305,5.555,155.9,72.75,51.501,624
"Guyana","GUY","2003",8009.695745,NA,NA,0.745143,2.924,43.1,59.56000137,66.122,328
"Haiti","HTI","2003",2654.206199,NA,28.76370883,8.900104,4.029,94.4,64.23999786,57.959,332
"Honduras","HND","2003",4235.625521,6.550000191,540.2234265,7.106319,3.815,32.1,66.19999695,71.511,340
"Hong Kong SAR, China","HKG","2003",37886.43536,6.190000057,5713.882451,6.7308,0.901,NA,70.33000183,81.37804878,344
"Hungary","HUN","2003",22266.69529,5.389999866,3637.278332,10.129552,1.27,8.4,60.43000031,72.3,348
"Iceland","ISL","2003",42153.56374,3.970000029,27666.38689,0.289521,1.99,3.5,86.69000244,80.96341463,352
"India","IND","2003",2871.454178,NA,430.4831641,1111.523144,3.109,81.2,60.09000015,63.699,356
"Indonesia","IDN","2003",6198.65338,8.31000042,428.8558292,220.309469,2.513,45.5,66.61000061,66.631,360
"Iran, Islamic Rep.","IRN","2003",11408.09426,NA,1888.688359,68.122938,1.878,28.9,47.47999954,71.265,364
"Iraq","IRQ","2003",4912.717141,NA,1040.106106,25.644499,4.676,41.4,44.09000015,68.636,368
"Ireland","IRL","2003",52469.06214,4.010000229,6092.548994,3.996521,1.96,6,71.09999847,78.13902439,372
"Isle of Man","IMN","2003",NA,0.5,NA,0.078884,NA,NA,NA,NA,833
"Israel","ISR","2003",30039.61257,13.81000042,6597.306307,6.6897,2.95,6.1,68.93000031,79.64878049,376
"Italy","ITA","2003",43921.02469,11.94999981,5652.519542,57.313203,1.29,4.8,61.81999969,79.98292683,380
"Jamaica","JAM","2003",9810.0936,16.34000015,2408.618469,2.709437,2.439,20.5,70.01999664,74.142,388
"Japan","JPN","2003",36208.59594,4.900000095,8164.933682,127.718,1.29,4,72.51000214,81.76,392
"Jordan","JOR","2003",9558.469028,20.79999924,1442.207717,5.43403,3.977,24.7,42.77999878,72.256,400
"Kazakhstan","KAZ","2003",13973.07868,10.39999962,3768.792821,14.909018,2.03,35.1,76.47000122,65.74,398
"Kenya","KEN","2003",2839.09474,NA,118.6892999,34.678779,4.979,85.5,68.09999847,52.41,404
"Kiribati","KIR","2003",2165.946473,NA,NA,0.088835,3.95,66.4,NA,63.995,296
"Korea, Dem. People’s Rep.","PRK","2003",NA,NA,750.9421501,23.542426,1.986,38.9,86.31999969,NA,408
"Korea, Rep.","KOR","2003",26358.61168,3.299999952,6977.317662,47.89233,1.18,6.4,65.16999817,77.21463415,410
"Kosovo","XKX","2003",6288.218216,71.90000153,1908.461924,1.703466,2.34,NA,NA,68.24390244,NA
"Kuwait","KWT","2003",63008.51543,NA,16387.66373,2.161626,2.614,11.8,67.66000366,73.355,414
"Kyrgyz Republic","KGZ","2003",3370.430199,NA,1644.359844,5.0433,2.5,43.1,68.65000153,68.25609756,417
"Lao PDR","LAO","2003",3245.185009,NA,NA,5.57664,3.845,94.2,82.65000153,60.502,418
"Latvia","LVA","2003",16485.50331,12.02000046,2493.930169,2.287955,1.32,11.9,68.95999908,71.26585366,428
"Lebanon","LBN","2003",13941.87628,NA,2499.786367,4.388375,2.142,16.3,50.13000107,75.969,422
"Lesotho","LSO","2003",1778.786699,NA,NA,2.018348,3.616,111.8,72.97000122,43.845,426
"Liberia","LBR","2003",1173.306195,NA,NA,3.077058,5.61,150.1,76.09999847,53.554,430
"Libya","LBY","2003",17553.54695,NA,2947.755797,5.620547,2.609,25.5,48.36999893,71.466,434
"Liechtenstein","LIE","2003",NA,NA,NA,0.034175,1.36,NA,NA,79.96097561,438
"Lithuania","LTU","2003",17896.78143,13.19999981,3087.655148,3.415213,1.26,9.5,72.37999725,72.06097561,440
"Luxembourg","LUX","2003",100546.5409,4.710000038,16258.88449,0.45163,1.62,4,64.30999756,77.72682927,442
"Macao SAR, China","MAC","2003",58976.97785,4.699999809,NA,0.460165,0.86,NA,67.55999756,81.089,446
"Madagascar","MDG","2003",1501.274143,6.21999979,NA,17.279141,5.24,92.5,87.97000122,60.256,450
"Malawi","MWI","2003",753.967749,NA,NA,12.000181,6,130.5,77.37000275,46.052,454
"Malaysia","MYS","2003",16751.4085,3.640000105,2914.673774,24.698819,2.438,8.5,63.63999939,73.17,458
"Maldives","MDV","2003",14452.47332,NA,NA,0.302683,2.372,27,55.86000061,72.399,462
"Mali","MLI","2003",1930.206886,NA,NA,11.982695,6.842,168.2,72.05999756,50.373,466
"Malta","MLT","2003",28386.15958,9.880000114,4872.272205,0.398582,1.48,7,58.75999832,78.54634146,470
"Marshall Islands","MHL","2003",3539.003653,NA,NA,0.053456,NA,40.5,NA,NA,584
"Mauritania","MRT","2003",4317.489228,NA,NA,2.857148,5.277,111.2,50.29000092,61.018,478
"Mauritius","MUS","2003",12938.15268,9.449999809,1561.765991,1.21337,1.87,16,63.41999817,72.11707317,480
"Mexico","MEX","2003",17262.38554,4.460000038,2001.018228,103.08102,2.579,24.7,61.79999924,75.118,484
"Micronesia, Fed. Sts.","FSM","2003",3602.881619,NA,NA,0.106901,4.007,49.1,NA,65.08,583
"Moldova","MDA","2003",6232.667048,6.360000134,2616.527468,2.90232,1.247,23,55.59000015,67.521,498
"Monaco","MCO","2003",NA,NA,NA,0.033153,NA,4.7,NA,NA,492
"Mongolia","MNG","2003",5074.418489,6.400000095,1139.437499,2.468762,2.087,51.8,62.24000168,64.23,496
"Montenegro","MNE","2003",12996.93028,NA,NA,0.612267,1.852,12.3,57.34000015,73.37,499
"Morocco","MAR","2003",4946.482268,12.97000027,581.6427986,29.782884,2.632,43.2,53.00999832,70.399,504
"Mozambique","MOZ","2003",756.5941649,NA,374.4742927,19.3311,5.768,144.7,85.76000214,49.889,508
"Myanmar","MMR","2003",1507.095459,NA,79.93951762,48.148902,2.763,81.8,74.98999786,60.989,104
"Namibia","NAM","2003",7068.757984,NA,1169.698321,1.879117,3.604,74,57.06999969,50.589,516
"Nauru","NRU","2003",NA,NA,NA,0.009994,NA,39.1,NA,NA,520
"Nepal","NPL","2003",1885.284381,NA,70.53183797,25.080872,3.422,68.2,87.37999725,64.165,524
"Netherlands","NLD","2003",47959.56527,3.799999952,6695.715124,16.225302,1.75,5.7,76.51000214,78.49268293,528
"New Caledonia","NCL","2003",NA,NA,NA,0.225296,2.27,NA,72.15000153,75.27073171,540
"New Zealand","NZL","2003",35678.05333,5.110000134,9407.032181,4.0272,1.93,6.9,75.90000153,79.14634146,554
"Nicaragua","NIC","2003",4043.308467,7.829999924,367.3387479,5.292118,2.874,32.9,63.52000046,70.64,558
"Niger","NER","2003",961.5235986,NA,29.80712183,12.647984,7.645,193.2,80.77999878,51.95,562
"Nigeria","NGA","2003",3619.14029,NA,101.9252137,131.900631,6.036,166.4,59.84999847,47.242,566
"North Macedonia","MKD","2003",10179.50878,36.27999878,3108.950603,2.053426,1.605,14.2,61.36999893,73.781,807
"Northern Mariana Islands","MNP","2003",NA,4.289999962,NA,0.057947,NA,NA,NA,NA,580
"Norway","NOR","2003",58915.70569,3.960000038,23201.39413,4.564855,1.8,4.4,78.58000183,79.3902439,578
"Oman","OMN","2003",32353.9995,NA,3549.62731,2.386166,3.142,13.8,57.20999908,73.447,512
"Pakistan","PAK","2003",3388.176646,15.31999969,395.3926863,153.093373,4.648,100,52.79999924,63.522,586
"Palau","PLW","2003",13985.77506,NA,NA,0.019809,NA,27,NA,NA,585
"Panama","PAN","2003",14680.78664,18.81999969,1359.59325,3.209048,2.679,24.1,67.69000244,75.565,591
"Papua New Guinea","PNG","2003",2750.840099,NA,NA,6.223377,4.368,66.9,66.95999908,59.974,598
"Paraguay","PRY","2003",8335.968662,8.319999695,835.7916223,5.632983,3.21,31.4,70.91999817,71.249,600
"Peru","PER","2003",6861.828363,4.070000172,752.8434114,27.372226,2.723,30.6,75.5,72.24,604
"Philippines","PHL","2003",4697.485594,3.839999914,555.435343,83.051971,3.65,35.6,62.99000168,68.937,608
"Poland","POL","2003",17465.22497,19.93000031,3324.471392,38.20457,1.22,8.1,64.04000092,74.59756098,616
"Portugal","PRT","2003",30519.72448,7.25,4375.732217,10.458821,1.44,5.5,72.75,77.2195122,620
"Puerto Rico","PRI","2003",32206.46489,10.81999969,NA,3.826095,1.7624,NA,54.11000061,78.07121951,630
"Qatar","QAT","2003",86887.33089,NA,16390.72556,0.681788,2.858,11.2,78.56999969,77.919,634
"Romania","ROU","2003",14384.11722,6.380000114,2237.937816,21.574326,1.3,19.9,63.25999832,71.3097561,642
"Russian Federation","RUS","2003",17488.29405,7.949999809,5478.130458,144.648618,1.32,16,70.48999786,65.02756098,643
"Rwanda","RWA","2003",1009.525911,NA,NA,8.557161,5.342,137.5,86.33000183,52.178,646
"Samoa","WSM","2003",5517.257206,NA,NA,0.177484,4.454,19.1,47.83000183,69.781,882
"San Marino","SMR","2003",77911.6825,NA,NA,0.028562,NA,4.7,NA,NA,674
"Sao Tome and Principe","STP","2003",2718.741888,24.78000069,NA,0.150415,5.049,70,57.88999939,63.359,678
"Saudi Arabia","SAU","2003",41229.80525,12.52000046,6501.326177,22.456649,3.601,18.4,51.25,73.051,682
"Senegal","SEN","2003",2493.933209,NA,127.496486,10.541467,5.232,107,52.86000061,59.259,686
"Serbia","SRB","2003",10648.22292,16.39999962,4332.679062,7.480591,1.59,10.5,65,72.43658537,688
"Seychelles","SYC","2003",17345.60963,NA,NA,0.082781,2.06,13.7,NA,71.02926829,690
"Sierra Leone","SLE","2003",1213.020939,NA,NA,5.20107,6.067,210.3,65.51000214,42.419,694
"Singapore","SGP","2003",58920.945,6.210000038,8113.587306,4.114826,1.27,3.2,70.36000061,79.03902439,702
"Sint Maarten (Dutch part)","SXM","2003",NA,NA,NA,0.031472,NA,NA,NA,NA,534
"Slovak Republic","SVK","2003",17936.57137,17.28000069,5021.798222,5.373374,1.2,8.8,69.86000061,73.60487805,703
"Slovenia","SVN","2003",28901.86069,7.019999981,6578.034236,1.995733,1.2,4.7,67.08999634,76.85853659,705
"Solomon Islands","SLB","2003",1984.219518,NA,NA,0.447017,4.558,29.4,86.04000092,68.518,90
"Somalia","SOM","2003",NA,NA,NA,9.815412,7.451,171.1,50.68999863,51.762,706
"South Africa","ZAF","2003",10646.83311,39.31999969,4559.77453,46.719196,2.608,76,58.47999954,53.749,710
"South Sudan","SSD","2003",NA,NA,NA,6.935676,5.969,154.5,75.55000305,50.55,728
"Spain","ESP","2003",36867.79434,15.68000031,5676.140491,42.187645,1.3,5,67.73999786,79.6195122,724
"Sri Lanka","LKA","2003",6302.215434,12.89999962,326.2582152,19.224037,2.263,15.1,60.36999893,73.799,144
"St. Kitts and Nevis","KNA","2003",21194.35406,NA,NA,0.045749,NA,20.7,NA,NA,659
"St. Lucia","LCA","2003",12800.65278,28.04999924,NA,0.16053,1.826,18.4,70.73000336,73.808,662
"St. Martin (French part)","MAF","2003",NA,NA,NA,0.032053,1.83,NA,NA,77.37317073,663
"St. Vincent and the Grenadines","VCT","2003",10019.30521,NA,NA,0.108326,2.229,21.7,72.12000275,71.087,670
"Sudan","SDN","2003",2561.682265,NA,NA,29.460519,5.268,93.6,51.65999985,59.67,729
"Suriname","SUR","2003",12923.86585,NA,2477.773816,0.487938,2.811,28.1,55.13000107,68.28,740
"Sweden","SWE","2003",42814.56434,5.010000229,15360.17889,8.958229,1.71,3.9,77.81999969,80.09512195,752
"Switzerland","CHE","2003",58040.08723,4.489999771,8195.120835,7.339001,1.39,5.3,81.25,80.53658537,756
"Syrian Arab Republic","SYR","2003",NA,20.93000031,1294.213209,17.415214,3.899,20.8,50.79999924,73.967,760
"Tajikistan","TJK","2003",1603.550762,NA,2138.637848,6.541547,3.703,65.4,47.31999969,64.496,762
"Tanzania","TZA","2003",1574.777472,NA,68.13844609,36.337782,5.659,106.1,88.94000244,52.866,834
"Thailand","THA","2003",11271.34588,1.440000057,1713.620908,64.549866,1.595,19,77.29000092,71.389,764
"Timor-Leste","TLS","2003",2308.479881,NA,NA,0.947108,6.137,91.6,70.56999969,61.888,626
"Togo","TGO","2003",1322.460347,NA,102.989529,5.330639,5.279,108.1,57.38999939,53.938,768
"Tonga","TON","2003",5515.522468,7.409999847,NA,0.099589,4.202,17.2,58.04999924,69.803,776
"Trinidad and Tobago","TTO","2003",21541.70424,13.81000042,4771.888164,1.283559,1.749,27.3,67.76999664,70.164,780
"Tunisia","TUN","2003",7878.413098,16.18000031,993.5369322,9.945277,2.016,24.5,49.40000153,73.842,788
"Turkey","TUR","2003",15720.45347,10.10000038,1771.827199,66.089402,2.353,30.8,49.95999908,71.559,792
"Turkmenistan","TKM","2003",4843.57645,NA,1746.230408,4.655743,2.698,58.6,65.44000244,64.386,795
"Turks and Caicos Islands","TCA","2003",NA,NA,NA,0.025011,NA,NA,NA,NA,796
"Tuvalu","TUV","2003",3432.428314,NA,NA,0.009726,NA,37.9,NA,NA,798
"Uganda","UGA","2003",1388.672341,4.489999771,NA,25.980552,6.723,123.6,71.41000366,49.421,800
"Ukraine","UKR","2003",9349.134688,NA,2997.974461,47.812949,1.172,15.9,66.75,68.21073171,804
"United Arab Emirates","ARE","2003",97795.00086,NA,12366.06705,3.711932,2.337,10.3,76.77999878,74.968,784
"United Kingdom","GBR","2003",40955.88342,4.059999943,6174.550896,59.647577,1.7,6.2,74.88999939,78.44634146,826
"United States","USA","2003",51569.81769,5.670000076,13307.49201,290.107933,2.0475,8.1,74.77999878,77.03658537,840
"Uruguay","URY","2003",11877.37337,20.63999939,1885.567391,3.323668,2.156,15.7,73.43000031,75.373,858
"Uzbekistan","UZB","2003",3032.666318,NA,1764.456256,25.56765,2.36,53.1,68.66000366,67.868,860
"Vanuatu","VUT","2003",2755.03423,NA,NA,0.198959,4.378,28.2,70.33999634,67.99,548
"Venezuela, RB","VEN","2003",NA,20.29000092,2664.722994,25.551624,2.701,19.8,65.62999725,72.618,862
"Vietnam","VNM","2003",3462.879975,2.630000114,433.1990598,82.301656,1.901,26.4,81.55000305,73.654,704
"Virgin Islands (U.S.)","VIR","2003",NA,NA,NA,0.108506,2.07,NA,71.41000366,77.52195122,850
"West Bank and Gaza","PSE","2003",3774.132413,15.17000008,NA,3.154969,4.973,27.6,40.43999863,71.648,275
"Yemen, Rep.","YEM","2003",NA,NA,165.6570977,18.985,5.778,80.7,45.04000092,62.358,887
"Zambia","ZMB","2003",2168.332619,NA,663.4245803,11.256743,5.915,124.2,79.73999786,46.322,894
"Zimbabwe","ZWE","2003",2642.103627,NA,879.636368,11.982224,3.725,90.6,82.30000305,43.195,716
"Arab World","ARB","2003",11051.57581,NA,1720.81437,301.113849,3.626459898,54.60015583,49.60673637,68.61050538,NA
"Caribbean small states","CSS","2003",13935.39857,15.42553869,3093.105143,6.65097,2.328841046,25.00073302,68.04445819,71.79198842,NA
"Central Europe and the Baltics","CEB","2003",18338.40486,13.29743388,3588.323461,106.624167,1.25090051,10.86666951,64.78335785,73.38225278,NA
"Early-demographic dividend","EAR","2003",5659.873346,NA,795.3270254,2603.300732,3.15165725,69.66858424,61.04586118,65.40225886,NA
"East Asia & Pacific","EAS","2003",8146.679887,NA,1947.981601,2099.602439,1.822761196,33,76.86472816,72.06752842,NA
"East Asia & Pacific (excluding high income)","EAP","2003",4839.570545,NA,1168.008029,1865.132706,1.881637735,34.86115547,77.71058153,71.05126647,NA
"East Asia & Pacific (IDA & IBRD countries)","TEA","2003",4892.292949,NA,1173.382903,1841.560579,1.880336429,34.80711567,77.60172009,71.09519777,NA
