Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,1290384064,1324084715,1355934900,1386188710,1416257366,1443359147,1467569010,1490449457,1513227369,1536434993,1559194619,1582789699,1608678553,1634539937,1659131214,1684294889,1710989831,1739071545,1767429690,1795159128,1822193192,1848222188,1872480731,1895897521,1919359723,1942431457,1965146504,1987315562,2008705489,2028650274,2047640119,2065912076,2083186112,2099602439,2115458616,2131146832,2146744075,2161785573,2177119142,2192059415,2206884624,2221673110,2236819053,2252046977,2267482299,2282855831,2298514046,2314202003
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,1117169518,1147914103,1176916274,1204963130,1231488459,1255575508,1277794190,1298410796,1318993009,1339882617,1360444852,1381740161,1405396789,1429187408,1451910036,1475348519,1500319170,1526783271,1553557307,1579675516,1605197175,1629641399,1652538259,1674590518,1696474639,1717912312,1738960485,1759761226,1779799008,1798649990,1816466142,1833433229,1849617640,1865142700,1880258797,1895285323,1909901290,1924028068,1938067140,1952027348,1965964309,1980045666,1994401378,2008932012,2023609315,2038202511,2053116851,2068155660
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,1102743566,1133088651,1161692276,1189353307,1215519616,1239283620,1261221825,1281596026,1301958160,1322627335,1342952245,1363987509,1387365773,1410865625,1433295147,1456445290,1481135087,1507322668,1533819043,1559650576,1584871832,1608999005,1631566815,1653289954,1674861279,1696014016,1716810429,1737388752,1757224494,1775880231,1793498351,1810261141,1826238744,1841560579,1856486252,1871341375,1885806859,1899800530,1913718210,1927560609,1941377349,1955334267,1969562739,1983964453,1998513398,2012980531,2027771091,2042687863
"Population, total",SP.POP.TOTL,Euro area,EMU,287338845,288923420,290874595,292728234,294399225,295923527,297251524,298441845,299652820,300886490,302184230,303343135,304174240,304787493,305299134,305877727,306640638,307488390,308516473,309837592,311262588,312708137,314162058,315449099,316366779,317181448,318003015,318761762,319433981,320258898,321310791,322547874,324125336,325885964,327682505,329380417,330922789,332645165,334274725,335360890,336151479,335419643,336159194,337302113,338466255,339533474,340616924,341164362
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,738123474,743747729,749899411,755883707,761661778,767264967,772775173,778073497,783310523,788572897,794002749,799296289,804063632,808620566,813373068,818222369,823200868,828219836,833273189,838162533,842570541,846356322,849757442,852712876,854685450,856212881,857577538,858882872,860015493,861035457,861993393,863083216,864648977,866925884,869516666,872163396,874862170,878004122,881531261,885170595,888627318,890862941,894486795,898766094,903129978,907498192,911812364,915420161
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,314539976,318052830,321560922,325046534,328549115,332071182,335746714,339361874,342936802,346489990,350139462,353859116,357399180,360920890,364686101,368464042,372210556,375941782,379557335,382800641,385427601,387394807,389005125,390255767,390879149,391293819,391652704,392007080,392243961,392211706,392301484,392050558,391720978,391882450,392243981,392658986,393216869,393919037,394991819,396743394,398783138,401012737,403265869,405778196,408278056,410844329,413361214,415710935
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,351616528,355267605,359067136,362873895,366718674,370598463,374638948,378610495,382483487,386331985,390313394,394369212,398263895,402150952,406270520,410367344,414388121,418349572,422137029,425529430,428315751,430330022,431944610,433317638,434073825,434508847,434834171,435191660,435439577,435384574,435028415,434598276,434253516,434390419,434730803,435134576,435669295,436349814,437427283,439200178,441121359,443356614,445596591,448074081,450528180,453034345,455505650,457810292
"Population, total",SP.POP.TOTL,European Union,EUU,441986158,444288192,447081048,449719264,452179363,454542377,456685457,458618982,460468272,462298836,464225439,465947860,467248876,468335580,469368776,470497179,471780193,473103906,474581370,476149867,477725565,479155422,480544294,482059744,483264869,484222373,485063813,485855012,486597004,487497959,488221138,489015301,490252423,492063516,494028141,495983155,497844869,499790863,501683669,503194070,504298777,504005894,505096232,506597697,508193856,509717579,511218529,512191098
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,154125870,158184120,162336872,166632061,171143908,175913811,180973468,186282227,191732730,197176457,202506212,207706419,212817642,217875296,222933368,228049054,233189187,238381626,243809801,249707879,258210292,265557410,273554015,281936725,290328995,298467311,306246158,313764396,321010137,328377495,336293932,344736362,353568055,362707108,372022500,381419066,390889972,400456806,410146920,419986678,430002303,440218679,450626774,461192790,471835322,482530732,493290951,504119229
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,207714294,213272637,219004370,224905331,230970305,237195002,243590895,250160346,256880793,263721622,270668574,277719103,284905162,292290346,299959473,307980296,316358131,325095184,334249178,343887505,354047260,364782185,376055904,387705076,399503946,411298620,423019190,434736174,446608340,458867402,471680794,485112686,499113575,513601239,528444632,543555326,558909236,574560260,590590368,607115564,624219326,641921311,660193774,679012664,698336451,718128416,738387254,759106221
